Crops,Machinery,Seed,Nitrogen,Phosphate,Potassium,Herbicide,Crop.Insurance,Miscellaneous,X_Combine,Grain.cart,Hauling,Drying,Handling,Labor,Property.tax.on.owned.land,Average.yield.Mg,Price.Mg
Soybean,50.73,106.99,NA,42.43,49.44,83.69,18.63,25.8,52.73,12.03,6.2,NA,2.3,55.18,51.89,5.02996,NA
Corn,65.88,151.1,152.76,83.03,37.36,101.01,41.51,24.91,69.46,18.83,21.25,110.7,6.77,70.03,54.36,13.48484,195.084
Soybean,53.69,174.35,NA,99.63,149.45,84.78,34.59,24.91,53.97,18.53,6.92,NA,2.22,53.27,54.36,12.12152,NA
Corn,59.53,280.51,113.91,70.23,63.11,95.13,46.21,24.46,65.78,18.48,39.14,119.37,6.67,68.77,55.6,30.99092,191.556
Soybean,56.04,135.91,NA,62.39,93.21,63.46,27.23,23.8,58.44,23.01,9.91,NA,4.62,53.67,57.45,4.33064,NA
Corn,80.43,264.64,207.59,112.92,77.07,90.81,58.39,23.35,83.03,23.35,37.36,113.02,19.62,69.83,58.69,6.62804,200.524
Soybean,59.82,145.32,0,48.88,95.45,93.53,38.18,22.91,64.39,22.91,10.18,NA,5.34,54.56,59.92,9.85652,NA
Corn,82.16,286.09,145.27,73.69,55.8,99.56,50.41,25.2,80.9,24.96,38.57,117.97,18.61,75.37,60.54,13.36304,225.036
Soybean,60.49,158.54,NA,48.38,77.52,100.32,22.44,25.2,59.48,25.45,9.96,NA,4.84,57.35,60.54,7.42688,NA
Corn,53.43,217.75,128.38,51.46,36.58,86.6,28.53,25.54,74.02,12.67,13.52,121.07,9.83,66,57.37,31.2744,185.8
Soybean,69.8,124.41,47,57.71,42.61,107.97,44.08,23.86,50.65,25.08,8.19,112.81,22.16,62.58,57.41,12.06948,183.224
Corn,69.85,244.19,136.13,62.31,77.13,84.17,46.74,24.06,80.32,14.81,14.28,113.62,9.52,62.99,51.83,29.07028,183.372
Soybean,65.56,122.19,41,67.48,57.9,110.58,26.7,24.64,69.08,25.84,26.72,114.94,7.83,55.53,55.46,7.28872,166.484
Corn,70.48,268.67,163.57,75.68,61.24,88.55,36.06,24.45,59.34,24.21,40.95,113.76,3.26,73.83,54.3,28.4382,205.724
Soybean,60.15,164.39,39,105.47,130.36,89.74,48.26,23.09,59.9,20.71,12.83,117.01,17.4,66,52.28,8.53816,180.8
Corn,57.14,214.12,149.21,50.06,67.45,85.45,31.37,23.78,64.44,24.85,24.21,111.62,8.56,67.4,58.08,31.1778,199.72
Soybean,67.61,161.98,43,38.62,48.04,91.1,44.31,25.3,61.7,15.45,9.47,117.37,19.6,65.44,59.57,13.6524,186.232
Corn,72.16,211.33,115.25,51.51,50.49,93.11,37.15,22.35,63.45,31.16,35.06,117.32,1.03,50.26,59.21,17.82124,150.728
Soybean,70.67,120.12,45,79.63,76.42,79.23,29.68,26.5,56.82,16.09,26.26,113.78,17.65,65.78,52.49,11.65532,198.184
Corn,81.23,266.61,158.21,56.05,37.67,76.62,35.41,23.17,52.59,18.87,4.17,113.38,9.91,69.37,55.25,12.43608,203.236
Soybean,73.26,137.48,43,82.78,25.24,78.21,60.44,23.99,73.53,23.56,47.1,117.57,12.13,65.51,54.15,4.56964,179.428
Corn,69.2,265.1,132.72,73.11,106.41,94.15,13.39,26.25,45.59,22.1,25.77,117.77,2.26,48.4,56.89,8.9086,139.52
Soybean,58.34,120.56,40,87.44,36.38,95.34,27.59,25.22,68.88,16.4,31.94,113.78,6.9,49.42,63.17,12.00856,145.376
Corn,62.02,251.17,116.48,57.87,52.87,86.39,54.79,22.93,71.15,20.51,21.85,115.8,5.04,64.3,58.62,20.25676,176.04
Soybean,67.03,146.17,44,72.87,113.56,107.81,36.2,25.77,74.36,23.43,26.28,120.86,13.22,54.32,52.56,13.05604,162.096
Corn,67.09,308.9,122.24,30.03,104.91,72.66,21.62,24.05,50.59,23.45,29.61,110.73,0.98,73.27,55.8,21.10344,207.156
Soybean,77,137.77,41,86.55,14.43,95.32,25.38,23.4,73.44,21.84,29.77,112.15,4.92,66.32,64.54,14.00688,193.696
Corn,60.92,267.3,148.18,19.47,88.49,84.77,28.13,23.17,71.89,23.44,36.62,109.2,6.67,74.79,53.05,10.12068,222.412
Soybean,77.39,121.48,56,79.56,105.26,59.21,27.68,25.09,70.59,23.18,5.6,107.35,4.34,56.25,59.08,2.97364,164.5