CropType,PollinatorAbundance,InsectTaxa_Richness,BirdSpecies_Richness,Surface_Runoff,Crop_Yield
0.20PS,28.67627345,0.569807441,0.570736701,54.40958742,6.54
0.10PS,22.2345734,0.511288213,0.400429797,77.76720501,12.56
0.10PS,18,0.53,0.38,80.3,9.64
0.20PS,28,0.65,0.55,48.7,10.65
RowC,13,0.342752205,0.28383234,138.7249349,25.67
0.10PS,23.00460582,0.583592883,0.389270399,58.99081504,13.21
0.20PS,27.74019338,0.529937336,0.570789821,50.49958539,6.78
RowC,12,0.379694499,0.224555288,134.3287673,15.78
0.10PS,20,0.57,0.4,74.1,8.36
RowC,15,0.34,0.33,129,21.45
0.20PS,30,0.63,0.58,58.8,9.86
0.20PS,28.71442369,0.506135432,0.58329835,53.95654795,5.43
0.10PS,27,0.64,0.43,62.4,7.64
0.20PS,26.8754357,0.565694319,0.567524942,42.59268965,4.89
RowC,12,0.4,0.28,136.6,16.93
RowC,9,0.21,0.25,112.4,17.33
0.10PS,13.29449838,0.51385906,0.406187608,77.83836757,8.61
0.20PS,28.32021496,0.572802949,0.551857637,54.50340341,4.31
0.20PS,29.79851438,0.487355054,0.559508379,54.63853222,7.46
0.20PS,27,0.51,0.57,53.7,4.55
RowC,13,0.388385238,0.264195491,135.4171987,14.53
RowC,9,0.274744131,0.261071441,125.7602624,24.82
0.10PS,20.4355859,0.568414384,0.399309104,75.14685234,10.13